2014-05-19 11:52:18 startup archives install
2014-05-19 11:52:18 install base-files:amd64 <none> 7.1wheezy5
2014-05-19 11:52:18 status half-installed base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 install base-passwd:amd64 <none> 3.5.26
2014-05-19 11:52:18 status half-installed base-passwd:amd64 3.5.26
2014-05-19 11:52:18 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:18 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:18 configure base-passwd:amd64 3.5.26 3.5.26
2014-05-19 11:52:18 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:18 status half-configured base-passwd:amd64 3.5.26
2014-05-19 11:52:18 status installed base-passwd:amd64 3.5.26
2014-05-19 11:52:18 configure base-files:amd64 7.1wheezy5 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status half-configured base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 status installed base-files:amd64 7.1wheezy5
2014-05-19 11:52:18 startup archives install
2014-05-19 11:52:18 upgrade dpkg 1.16.12 1.16.12
2014-05-19 11:52:18 status half-configured dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status half-installed dpkg 1.16.12
2014-05-19 11:52:18 status half-installed dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 configure dpkg 1.16.12 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status unpacked dpkg 1.16.12
2014-05-19 11:52:18 status half-configured dpkg 1.16.12
2014-05-19 11:52:18 status installed dpkg 1.16.12
2014-05-19 11:52:18 startup archives install
2014-05-19 11:52:18 install libc6:amd64 <none> 2.13-38+deb7u1
2014-05-19 11:52:18 status half-installed libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:19 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:19 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:19 configure libc6:amd64 2.13-38+deb7u1 2.13-38+deb7u1
2014-05-19 11:52:19 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:19 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:19 status half-configured libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:20 status installed libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:20 startup archives install
2014-05-19 11:52:20 install perl-base:amd64 <none> 5.14.2-21+deb7u1
2014-05-19 11:52:20 status half-installed perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 configure perl-base:amd64 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-05-19 11:52:20 status unpacked perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 status half-configured perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 status installed perl-base:amd64 5.14.2-21+deb7u1
2014-05-19 11:52:20 startup archives install
2014-05-19 11:52:20 install mawk:amd64 <none> 1.3.3-17
2014-05-19 11:52:20 status half-installed mawk:amd64 1.3.3-17
2014-05-19 11:52:20 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:20 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:20 configure mawk:amd64 1.3.3-17 1.3.3-17
2014-05-19 11:52:20 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:20 status half-configured mawk:amd64 1.3.3-17
2014-05-19 11:52:20 status installed mawk:amd64 1.3.3-17
2014-05-19 11:52:20 startup archives install
2014-05-19 11:52:20 install debconf:all <none> 1.5.49
2014-05-19 11:52:20 status half-installed debconf:all 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 configure debconf:all 1.5.49 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 status unpacked debconf:all 1.5.49
2014-05-19 11:52:20 status half-configured debconf:all 1.5.49
2014-05-19 11:52:21 status installed debconf:all 1.5.49
2014-05-19 11:52:21 startup archives unpack
2014-05-19 11:52:21 install libc-bin:amd64 <none> 2.13-38+deb7u1
2014-05-19 11:52:21 status half-installed libc-bin:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status unpacked libc-bin:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status unpacked libc-bin:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 install gcc-4.7-base:amd64 <none> 4.7.2-5
2014-05-19 11:52:21 status half-installed gcc-4.7-base:amd64 4.7.2-5
2014-05-19 11:52:21 status unpacked gcc-4.7-base:amd64 4.7.2-5
2014-05-19 11:52:21 status unpacked gcc-4.7-base:amd64 4.7.2-5
2014-05-19 11:52:21 install libgcc1:amd64 <none> 1:4.7.2-5
2014-05-19 11:52:21 status half-installed libgcc1:amd64 1:4.7.2-5
2014-05-19 11:52:21 status unpacked libgcc1:amd64 1:4.7.2-5
2014-05-19 11:52:21 status unpacked libgcc1:amd64 1:4.7.2-5
2014-05-19 11:52:21 upgrade libc6:amd64 2.13-38+deb7u1 2.13-38+deb7u1
2014-05-19 11:52:21 status half-configured libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status half-installed libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status half-installed libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 status unpacked libc6:amd64 2.13-38+deb7u1
2014-05-19 11:52:21 upgrade base-files:amd64 7.1wheezy5 7.1wheezy5
2014-05-19 11:52:21 status half-configured base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 status half-installed base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 status half-installed base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 status unpacked base-files:amd64 7.1wheezy5
2014-05-19 11:52:21 upgrade base-passwd:amd64 3.5.26 3.5.26
2014-05-19 11:52:21 status half-configured base-passwd:amd64 3.5.26
2014-05-19 11:52:21 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:21 status half-installed base-passwd:amd64 3.5.26
2014-05-19 11:52:21 status half-installed base-passwd:amd64 3.5.26
2014-05-19 11:52:21 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:21 status unpacked base-passwd:amd64 3.5.26
2014-05-19 11:52:21 install utils:amd64 <none> 4.3.2
2014-05-19 11:52:21 status half-installed utils:amd64 4.3.2
2014-05-19 11:52:21 status unpacked utils:amd64 4.3.2
2014-05-19 11:52:21 status unpacked utils:amd64 4.3.2
2014-05-19 11:52:21 install libbz2-1.0:amd64 <none> 1.0.6-4
2014-05-19 11:52:21 status half-installed libbz2-1.0:amd64 1.0.6-4
2014-05-19 11:52:21 status unpacked libbz2-1.0:amd64 1.0.6-4
2014-05-19 11:52:21 status unpacked libbz2-1.0:amd64 1.0.6-4
2014-05-19 11:52:21 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2
2014-05-19 11:52:21 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:21 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:21 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2
2014-05-19 11:52:21 install libselinux1:amd64 <none> 2.1.9-5
2014-05-19 11:52:21 status half-installed libselinux1:amd64 2.1.9-5
2014-05-19 11:52:21 status unpacked libselinux1:amd64 2.1.9-5
2014-05-19 11:52:21 status unpacked libselinux1:amd64 2.1.9-5
2014-05-19 11:52:21 upgrade dpkg:amd64 1.16.12 1.16.12
2014-05-19 11:52:21 status half-configured dpkg:amd64 1.16.12
2014-05-19 11:52:21 status unpacked dpkg:amd64 1.16.12
2014-05-19 11:52:21 status half-installed dpkg:amd64 1.16.12
2014-05-19 11:52:21 status half-installed dpkg:amd64 1.16.12
2014-05-19 11:52:21 status unpacked dpkg:amd64 1.16.12
2014-05-19 11:52:21 status unpacked dpkg:amd64 1.16.12
2014-05-19 11:52:21 install dash:amd64 <none> 0.5.7-3
2014-05-19 11:52:21 status half-installed dash:amd64 0.5.7-3
2014-05-19 11:52:21 status unpacked dash:amd64 0.5.7-3
2014-05-19 11:52:21 status unpacked dash:amd64 0.5.7-3
2014-05-19 11:52:21 install libtinfo5:amd64 <none> 5.9-10
2014-05-19 11:52:21 status half-installed libtinfo5:amd64 5.9-10
2014-05-19 11:52:21 status unpacked libtinfo5:amd64 5.9-10
2014-05-19 11:52:21 status unpacked libtinfo5:amd64 5.9-10
2014-05-19 11:52:21 install bash:amd64 <none> 4.2+dfsg-0.1
2014-05-19 11:52:21 status half-installed bash:amd64 4.2+dfsg-0.1
2014-05-19 11:52:21 status unpacked bash:amd64 4.2+dfsg-0.1
2014-05-19 11:52:21 status unpacked bash:amd64 4.2+dfsg-0.1
2014-05-19 11:52:21 install bsdutils:amd64 <none> 1:2.20.1-5.3
2014-05-19 11:52:21 status half-installed bsdutils:amd64 1:2.20.1-5.3
2014-05-19 11:52:21 status unpacked bsdutils:amd64 1:2.20.1-5.3
2014-05-19 11:52:21 status unpacked bsdutils:amd64 1:2.20.1-5.3
2014-05-19 11:52:21 install libncurses5:amd64 <none> 5.9-10
2014-05-19 11:52:21 status half-installed libncurses5:amd64 5.9-10
2014-05-19 11:52:21 status unpacked libncurses5:amd64 5.9-10
2014-05-19 11:52:21 status unpacked libncurses5:amd64 5.9-10
2014-05-19 11:52:21 install libattr1:amd64 <none> 1:2.4.46-8
2014-05-19 11:52:21 status half-installed libattr1:amd64 1:2.4.46-8
2014-05-19 11:52:21 status unpacked libattr1:amd64 1:2.4.46-8
2014-05-19 11:52:21 status unpacked libattr1:amd64 1:2.4.46-8
2014-05-19 11:52:22 install libacl1:amd64 <none> 2.2.51-8
2014-05-19 11:52:22 status half-installed libacl1:amd64 2.2.51-8
2014-05-19 11:52:22 status unpacked libacl1:amd64 2.2.51-8
2014-05-19 11:52:22 status unpacked libacl1:amd64 2.2.51-8
2014-05-19 11:52:22 install coreutils:amd64 <none> 8.13-3.5
2014-05-19 11:52:22 status half-installed coreutils:amd64 8.13-3.5
2014-05-19 11:52:22 status unpacked coreutils:amd64 8.13-3.5
2014-05-19 11:52:22 status unpacked coreutils:amd64 8.13-3.5
2014-05-19 11:52:22 upgrade debconf:all 1.5.49 1.5.49
2014-05-19 11:52:22 status half-configured debconf:all 1.5.49
2014-05-19 11:52:22 status unpacked debconf:all 1.5.49
2014-05-19 11:52:22 status half-installed debconf:all 1.5.49
2014-05-19 11:52:22 status half-installed debconf:all 1.5.49
2014-05-19 11:52:22 status unpacked debconf:all 1.5.49
2014-05-19 11:52:22 status unpacked debconf:all 1.5.49
2014-05-19 11:52:22 install libdb5.1:amd64 <none> 5.1.29-5
2014-05-19 11:52:22 status half-installed libdb5.1:amd64 5.1.29-5
2014-05-19 11:52:22 status unpacked libdb5.1:amd64 5.1.29-5
2014-05-19 11:52:22 status unpacked libdb5.1:amd64 5.1.29-5
2014-05-19 11:52:22 install liblocale-gettext-perl:amd64 <none> 1.05-7+b1
2014-05-19 11:52:22 status half-installed liblocale-gettext-perl:amd64 1.05-7+b1
2014-05-19 11:52:22 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2014-05-19 11:52:22 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2014-05-19 11:52:22 install libtext-iconv-perl:amd64 <none> 1.7-5
2014-05-19 11:52:22 status half-installed libtext-iconv-perl:amd64 1.7-5
2014-05-19 11:52:22 status unpacked libtext-iconv-perl:amd64 1.7-5
2014-05-19 11:52:22 status unpacked libtext-iconv-perl:amd64 1.7-5
2014-05-19 11:52:22 install libtext-charwidth-perl:amd64 <none> 0.04-7+b1
